Sample	Year	Month	Day	Latitude	Longitude	pH
15.16.1	2016	Jan	18	51.52474	-0.13108	N/A
15.16.2	2016	Jan	18	51.52439	-0.13112	N/A
15.16.3	2016	Jan	18	51.52386	-0.13060	N/A
15.16.4	2016	Jan	18	51.52431	-0.13054	N/A
16.17.1	2017	Feb	6	51.52453	-0.13091	7.0
16.17.2	2017	Feb	6	51.52410	-0.13066	7.5
16.17.3	2017	Feb	6	51.52434	-0.13083	7.0
16.17.4	2017	Feb	6	51.52459	-0.13127	8.0
16.17.5	2017	Jan	30	51.52407	-0.13082	5.5
16.17.6	2017	Jan	30	51.52407	-0.13086	6.0
16.17.7	2017	Jan	30	51.52437	-0.13076	6.0
16.17.8	2017	Jan	30	51.52419	-0.13066	5.5
